Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify if is able to delete record when no record is selected,RET-107,10135,Test,Block,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:09 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000tr:,,RET Sprint 1,,,,,,,,In Progress
Verify if it able to delete records when at least one record is selected,RET-106,10134,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:00 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000tj:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to select product ,RET-105,10133,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 8:53 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000tb:,,RET Sprint 1,,,,,,,,Done
Verify if after pressing cancel button all updates details doesn't get saved in the records,RET-104,10132,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 8:41 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000t3:,,RET Sprint 1,,,,,,,,Done
Verify if after pressing save button all details get saved and updated in the records,RET-103,10131,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:41 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000sv:,,RET Sprint 1,,,,,,,,Done
Verify comment field when Comment is updated and added in History,RET-102,10130,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:31 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000sn:,,RET Sprint 1,,,,,,,,Done
Verify status of checkbox when it is selected and it status is added to History,RET-101,10129,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:26 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000sf:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Return Status is updated and added to History,RET-100,10128,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:16 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000s7:,,RET Sprint 1,,,,,,,,Done
Verify comment field when Comment is updated but not added in History,RET-99,10127,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:13 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000rz:,,RET Sprint 1,,,,,,,,Done
Verify status of checkbox when it is selected but status is not added in History,RET-98,10126,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:11 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000rr:,,RET Sprint 1,,,,,,,,Done
